scenario,gpt-3.5-turbo-0125-step0,gpt-3.5-turbo-0125-step1,gpt-3.5-turbo-0125-step2,o4-mini-step0
defending-freedom-tweets.txt,75,75,67,0
delegation.txt,84,83,82,95
dennis-kozlowski-living-large.txt,50,62,87,80
digital-downloads.txt,50,75,84,92
diverse-faces-diverse-lenses.txt,82,82,86,89
doubts-and-decisions.txt,74,84,75,83
doxxing-or-due-diligence.txt,63,62,69,85
dr-vs-magical-putter.txt,89,86,77,92
early-graduation.txt,85,84,87,99
east-germanys-doping-machine.txt,82,75,78,0
ebola-american-intervention.txt,49,84,64,0
edward-snowden-traitor-hero.txt,60,62,62,0
emotion-recognition-and-smart-cities.txt,75,79,78,92
erasing-an-alums-digital-footprint.txt,75,81,82,87
ethical-use-of-home-dna-testing.txt,72,73,60,0
ethics-gifts-and-education-managing-conflicting-interests.txt,85,86,85,93
factual-basis-of-an-opinion-piece.txt,85,84,85,95
fbi-apple-security-vs-privacy.txt,75,66,77,0
first-date.txt,75,75,68,50
flying-confederate-flag.txt,75,79,82,0
freedom-of-the-press.txt,85,88,83,60
freedom-speech-campus.txt,76,83,55,89
freedom-vs-duty-in-clinical-social-work.txt,61,75,80,0
friendly-recruiting.txt,74,83,82,93
friends-and-funding.txt,75,85,86,99
full-disclosure-manipulating-donors.txt,82,92,90,95
fur-mercials-advertising-adoption.txt,79,75,83,80
gaming-system-va-scandal.txt,85,86,88,89
gatekeeping.txt,84,75,75,99
german-police-battalion-101.txt,75,76,60,75
googles-handling-of-the-echo-chamber-manifesto.txt,70,75,65,89
head-injuries-the-nfl.txt,60,75,77,0
healthcare-obligations-personal-vs-institutional.txt,73,77,75,0
high-stakes-testing.txt,75,83,84,92
humanitys-best-friend-in-the-workplace.txt,75,81,81,92
ikea-case-one-companys-fight-to-end-child-labor.txt,82,75,85,93
inaccessible.txt,75,85,85,99
insider-information.txt,85,86,89,99
kids-exercise-and-technology.txt,83,78,85,89
krogh-watergate-scandal.txt,85,87,85,92
lack-of-board-engagement.txt,79,84,75,55
learning-from-tays-encounter-with-social-media.txt,67,72,75,65
limbaugh-drug-addiction.txt,75,65,77,0
lochtegate.txt,84,77,75,65
make-waves-or-go-with-the-flow.txt,75,64,63,97
making-vulnerabilities-visible.txt,65,85,85,88
meet-me-at-starbucks.txt,86,88,86,0
million-little-pieces.txt,84,87,91,0
miss-saigon-controversy.txt,75,85,84,88
mozilla.txt,63,80,81,78
myanmar-amber.txt,75,72,81,0
naming-survivors-of-sexual-assault.txt,85,79,85,93
navigating-the-complexities-of-family-and-business.txt,77,77,77,92
negotiating-bankruptcy.txt,75,84,86,60
obey-law-on-criminal-reporting-for-a-pregnant-mother-addicted-to-heroin.txt,57,53,64,93
organizational-development.txt,60,75,60,85
pao-gender-bias.txt,42,55,75,0
pardoning-nixon.txt,68,85,85,87
patient-autonomy-informed-consent.txt,83,63,81,0
perks-of-the-job.txt,84,85,85,85
philanthropy-corruption-and-daves-volunteer-journey.txt,57,60,73,98
prenatal-diagnosis-parental-choice.txt,50,79,84,0
rehiring-asd.txt,67,69,72,92
reporting-robin-williams.txt,86,85,90,85
request-to-withhold-diagnosis-in-medical-record-for-fear-of-stigma.txt,67,78,80,95
responding-child-migration.txt,65,80,83,0
responsibility-of-a-student-newspaper-to-university.txt,75,78,81,65
retracting-research-case-chandok-v-klessig.txt,43,55,76,92
sacking-social-media-college-sports.txt,74,71,81,53
selling-enron.txt,86,81,89,0
sentio-ergo-sum.txt,77,84,88,95
smart-lampposts-illuminating-smart-cities.txt,75,81,81,88
snapchat.txt,75,76,79,35
snyder-v-phelps.txt,65,57,50,0
social-media-struggle.txt,80,85,83,75
something-fishy-at-the-paralympics.txt,76,84,83,0
speak-up-or-stay-silent.txt,80,85,84,85
stangl-the-holocaust.txt,53,60,75,0
student-or-student-leader.txt,77,75,75,99
students-and-sensors-data-education-privacy-and-research.txt,65,81,85,95
superfly.txt,62,56,73,40
teaching-blackface-lesson-stereotypes.txt,81,84,83,95
teaching-consent.txt,83,88,86,92
the-astros-sign-stealing-scandal.txt,78,79,76,0
the-central-park-five.txt,75,84,78,0
the-cia-leak.txt,37,62,57,0
the-colorado-river-and-environmental-justice-for-the-navajo-tribe.txt,81,82,83,92
the-costco-model.txt,75,75,75,0
the-environmental-impact-of-generating-images-with-ai.txt,78,82,77,92
the-ethics-of-social-media-decision-making.txt,79,54,85,82
the-sandusky-scandal.txt,76,81,89,99
the-varsity-blues-scandal.txt,70,64,75,0
the-vulnerability-disclosure-debate.txt,52,79,82,90
therac-25.txt,75,75,80,82
this-is-only-a-test.txt,76,84,84,90
truth-friendship-and-ethical-responsibility-in-the-workplace.txt,75,87,87,92
unfair-funding.txt,77,85,85,97
up-up-and-away-clinical-trials-go-international.txt,80,75,74,89
urvr.txt,75,77,77,85
use-of-placebo-deceptive-treatment.txt,84,76,82,75
vote-no-on-smoking.txt,76,75,79,92
vr-rage-room.txt,79,76,75,88
waitlists-and-vips.txt,75,93,92,99
welfare-reform.txt,66,76,66,0
wells-fargo-and-moral-emotions.txt,82,75,82,0
what-is-newsworthy.txt,75,82,84,42
when-is-one-on-one.txt,75,86,85,95
